ParentID,Parent#
1,B004HSYYZI
2,B004IDDI9A
3,B004IDGHPW
4,B004IDK1QS
5,B004IRE2L4
6,B0058T2RMW
7,B0058T2ZMY
8,B0058T33RA
9,B0058T379E
10,B0058T3H6M
11,B0058T3TYC
12,B0058T3VJK
13,B0058T3W8A
14,B0058T3X0M
15,B005DDYC26
16,B005DDYCRG
17,B005DDYCY4
18,B005DDYD48
19,B005DDYDHK
20,B005DDYDT8
21,B005DDYE5G
22,B005DDYECO
23,B005DDYEHO
24,B005DDYEME
25,B005DDYEQK
26,B005DDYEY2
27,B005DDYF32
28,B005DDYF96
29,B005DDYFEG
30,B005DDYFJQ
31,B005DDYFNM
32,B005DDYFRS
33,B005DDYFU0
34,B005DDYIU2
35,B005DDYIYS
36,B005DDYJ1K
37,B005DDYJ7E
38,B005DDYJAG
39,B005DDYJJW
40,B005DDYJO2
41,B005DDYJQ0
42,B005DDYPUU
43,B005DDYPW8
44,B005DDYQ22
45,B005DDYQ5O
46,B005DDYQ7M
47,B005DDYQA4
48,B005DDYQAY
49,B005DDYQFE
50,B005DDYQHW
51,B005DDYQKY
52,B005DDYQMM
53,B005DDYQRC
54,B005DDYQUE
55,B005DDYQW2
56,B005DDYQYK
57,B005DDYR1W
58,B005DDYR4E
59,B005DDYR8K
60,B005DDYRDU
61,B005DDYRI0
62,B005DDYRN0
63,B005DDYRS0
64,B005DDYRWG
65,B005DDYS02
66,B005DDYS66
67,B005DDYVEA
68,B005DDYVHC
69,B005DDYVJU
70,B005DDYVL8
71,B005DDYVNQ
72,B005DDYVOK
73,B005DDYVQS
74,B005DDYVRW
75,B005DDYVTU
76,B005HV4QXO
77,B005HV4R4M
78,B005HV4RBK
79,B005HV4RHO
80,B005HV4RO2
81,B005HV4S32
82,B005HV4SHI
83,B005HV4SOG
84,B005HV4SYG
85,B005HV4Z62
86,B005HV4ZMG
87,B005HV503O
88,B005HV50HK
89,B005HV5110
90,B005HV52QY
91,B005HV52XM
92,B005HV5354
93,B005HV53CC
94,B005HV53PO
95,B005HV54I0
96,B005HV54Q2
97,B006IEISD8
98,B00781Q4C2
99,B00781Q62U
100,B00781Q6UM
101,B00781QTLI
102,B00781QTZY
103,B00781QUUI
104,B00781QV8O
105,B0078R3GHM
106,B0078R3IRK
107,B0078R3PZK
108,B0078R3UUK
109,B0078R5DR8
110,B0078R5F12
111,B0078S3ELO
112,B0078X2I84
113,B0078X2IIO
114,B0078X2IOS
115,B0078X2IW0
116,B0078X2J06
117,B0078X2JME
118,B007GB8CW4
119,B007GB8D00
120,B007GB8DF0
121,B007GB8DM8
122,B007GB8DUU
123,B007GB8DZK
124,B007GB8EBI
125,B007GB8EH2
126,B007GB8ERC
127,B007GB8EVS
128,B007GB8F8K
129,B007GB8FDU
130,B007GB8GW0
131,B007GB8HLU
132,B007GB8HP6
133,B007GB8IB4
134,B007GB8IJQ
135,B007GB8J1S
136,B007GB8JEU
137,B007GB8JPO
138,B007GB8K4O
139,B007GB8KCG
140,B007GB8KLC
141,B007GB8MII
142,B007GB8MQU
143,B007GB8N0U
144,B007GB8N5U
145,B007GB97XM
146,B007GB982M
