,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,risk_factor,emp_length,annual_inc,total_debt,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_credit_rv,dti,loan_is_bad_num,loan_currency_num,K3 - Predicted,K8 - Predicted
0,2000,2000,2000.0,36,17.27,71.58,-3,2.0,26000.0,6661.2,0,1,70.0,0.0,11,0,7354,75.0,13,72.85,72.85,2501.4,2501.4,1927.15,574.25,0.0,0.0,0.0,71.58,0,70.0,1,0,0.0,36339.0,9800.0,0.256,0,1,2,1
14,10500,10500,10500.0,36,17.27,375.77,-3,10.0,80000.0,23272.0,0,0,38.0,0.0,17,0,38985,90.5,30,0.0,0.0,11268.76,11268.76,8352.04,2916.72,0.0,0.0,0.0,375.77,0,0.0,1,0,0.0,75921.0,43100.0,0.29100000000000004,1,0,2,1
19,10000,10000,9950.0,36,17.27,357.88,-3,4.0,60000.0,11142.0,3,0,12.0,0.0,15,0,41140,84.3,32,0.0,0.0,11510.06,11452.53,10000.0,1510.06,0.0,0.0,0.0,7587.89,0,33.0,1,0,0.0,312510.0,48800.0,0.18600000000000005,0,0,2,1
20,16000,16000,16000.0,60,17.27,399.97,-3,7.0,122000.0,22143.0,1,2,16.0,0.0,15,0,14349,61.6,27,0.0,0.0,11990.56,11990.56,6307.19,5683.37,0.0,0.0,0.0,399.97,0,0.0,1,0,0.0,62941.0,23300.0,0.182,1,0,2,1
31,6500,6500,6500.0,36,17.27,232.62,-3,5.0,42000.0,10907.4,0,2,36.0,0.0,12,0,4087,70.5,20,0.0,0.0,7190.69,7190.69,6500.0,690.69,0.0,0.0,0.0,5562.35,0,79.0,1,0,0.0,58025.0,5800.0,0.26,0,0,2,1
37,18000,18000,18000.0,60,17.27,449.97,-3,0.0,40000.0,13316.0,0,4,40.0,0.0,16,0,50331,51.8,29,0.0,0.0,9890.8,9890.8,4896.25,4994.55,0.0,0.0,0.0,449.97,0,40.0,1,0,3364.0,50331.0,97100.0,0.333,1,0,2,1
42,9000,9000,9000.0,36,17.27,322.09,-3,6.0,40000.0,9680.0,0,1,0.0,0.0,19,0,14663,50.6,40,0.0,0.0,11581.15,11581.15,8990.89,2590.26,0.0,0.0,0.0,321.86,0,0.0,1,0,0.0,69733.0,29000.0,0.242,0,0,2,1
44,7500,7500,7500.0,36,17.27,268.41,-3,1.0,40000.0,7152.0,0,3,30.0,0.0,15,0,9744,40.8,36,0.0,0.0,9446.072469,9446.07,7500.0,1946.07,0.0,0.0,0.0,3015.67,0,59.0,1,0,0.0,16164.0,23900.0,0.179,0,0,2,1
47,11100,11100,11050.0,36,17.27,397.24,-3,7.0,32000.0,9145.6,0,1,47.0,0.0,12,0,9978,53.1,14,0.0,0.0,14300.567180000002,14236.15,11100.0,3200.57,0.0,0.0,0.0,397.16,0,0.0,1,0,0.0,25537.0,18800.0,0.28600000000000003,0,0,2,1
60,9000,9000,9000.0,36,17.27,322.09,-3,4.0,54000.0,12841.2,0,3,51.0,0.0,18,0,16900,53.1,44,0.0,0.0,10453.19,10453.19,9000.0,1453.19,0.0,0.0,0.0,6598.9,0,0.0,1,0,0.0,52768.0,31800.0,0.238,0,0,2,1
67,17050,17050,17000.0,36,17.27,610.18,-3,10.0,39000.0,8112.0,0,1,59.0,0.0,13,0,18536,83.7,31,0.0,0.0,5485.41,5469.39,3474.77,2010.64,0.0,0.0,0.0,610.18,0,63.0,1,0,0.0,18674.0,22136.0,0.208,1,0,2,1
70,7425,7425,7425.0,36,17.27,265.73,-3,10.0,72000.0,19965.6,0,1,0.0,0.0,9,0,7444,82.7,18,0.0,0.0,8548.92,8548.92,7425.0,1123.92,0.0,0.0,0.0,5625.89,0,0.0,1,0,0.0,135418.0,9000.0,0.277,0,0,2,1
73,5000,5000,5000.0,36,17.27,178.94,-3,10.0,60000.0,15756.0,0,0,0.0,0.0,20,0,14399,47.8,34,0.0,0.0,5996.5563409999995,5996.56,5000.0,996.56,0.0,0.0,0.0,3137.86,0,0.0,1,0,0.0,52837.0,30100.0,0.263,0,0,2,1
76,8325,8325,8325.0,36,17.27,297.93,-3,6.0,25000.0,6275.0,0,1,37.0,0.0,7,0,5275,54.9,17,0.0,0.0,10715.05,10715.05,8325.0,2390.05,0.0,0.0,0.0,883.36,0,37.0,1,0,0.0,11912.0,9600.0,0.251,0,0,2,1
91,4500,4500,4500.0,36,17.27,161.05,-3,10.0,33000.0,5662.8,0,1,36.0,0.0,8,0,6806,72.4,25,0.0,0.0,5797.4546759999985,5797.45,4500.0,1297.45,0.0,0.0,0.0,160.7,0,36.0,1,0,97.0,20637.0,9400.0,0.172,0,0,2,1
107,12375,12375,12375.0,36,17.27,442.87,-3,10.0,42000.0,10819.2,0,0,33.0,0.0,8,0,7362,84.6,25,0.0,0.0,15316.60116,15316.6,12375.0,2941.6,0.0,0.0,0.0,6033.13,0,33.0,1,0,0.0,20865.0,8700.0,0.258,0,0,2,1
120,8000,8000,7900.0,36,17.27,286.3,-3,6.0,60000.0,15084.0,1,1,6.0,0.0,16,0,15907,42.1,27,0.0,0.0,9901.860061,9778.09,8000.0,1901.86,0.0,0.0,0.0,3899.78,0,46.0,1,0,0.0,123040.0,37800.0,0.251,0,0,2,1
122,11100,11100,11025.0,36,17.27,397.24,-3,4.0,39000.0,9445.8,1,3,23.0,0.0,15,0,12491,53.6,35,0.0,0.0,4457.46,4427.31,1992.86,1176.18,0.0,1288.42,12.8842,397.24,0,23.0,1,0,0.0,125638.0,23300.0,0.242,1,0,2,1
129,5500,5500,5500.0,36,17.27,196.83,-3,10.0,28000.0,7114.8,1,0,23.0,0.0,5,0,6046,84.0,14,0.0,0.0,6809.942426000001,6809.94,5500.0,1309.94,0.0,0.0,0.0,2676.51,0,64.0,1,0,0.0,10535.0,7200.0,0.254,0,0,2,1
130,9000,9000,8975.0,60,17.27,224.99,-3,1.0,175000.0,51275.0,0,0,0.0,0.0,22,0,66177,89.8,43,4544.43,4531.79,8086.06,8063.63,4455.57,3630.49,0.0,0.0,0.0,224.99,0,0.0,1,0,0.0,700979.0,73700.0,0.293,0,1,2,1
