LotDescription,Parent#,Revenue,ParentID,LotID
CED2NV RG 60 - Navy Flame Resistant Bottoms,B00JIL6QTG,276170.69000000006,387,234
CED2KH RG 58 - Khaki Flame Resistant Bottoms,B00JIL6QTG,4951.77,387,233
CED2OR LN 56 - Orange Flame Resistant Bottoms,B00JIL6QTG,4576.0,387,235
CED2RB RG 64 - Royal Blue Flame Resistant Bottoms,B00JIL6QTG,4485.26,387,236
5360 - Black Uniforms Bottoms,B00O7PBMG0,111618.48000000001,431,176
5360 - Black/White Check Uniforms Bottoms,B00O7PBMG0,2372.51,431,177
CT10 - Black Coveralls,B00O971DVA,83318.81000000001,485,270
CT10 - Orange Coveralls,B00O971DVA,68032.37,485,276
CT10 - Electric Blue Coveralls,B00O971DVA,41400.130000000005,485,273
CT10 - Navy Coveralls,B00O971DVA,37931.579999999994,485,274
CT10 - White Coveralls,B00O971DVA,26509.350000000002,485,279
CT10 - Charcoal Coveralls,B00O971DVA,25762.86,485,272
CT10 - Postman Blue Coveralls,B00O971DVA,13273.060000000001,485,277
CT10 - Spruce Green Coveralls,B00O971DVA,10243.490000000002,485,278
CT10 - Brown Coveralls,B00O971DVA,9327.11,485,271
SEW2NV LN M - Navy Flame Resistant Tops,B00HUA6JL2,65217.3,356,677
SEW2KH LN M - Khaki Flame Resistant Tops,B00HUA6JL2,25490.11,356,675
SEW2SY LN XXL - Silver Grey Flame Resistant Tops,B00HUA6JL2,13118.25,356,678
SEW2LB RG S - Light Blue Flame Resistant Tops,B00HUA6JL2,10749.310000000001,356,676
PEW2NV 30 34 - Navy Flame Resistant Bottoms,B00HUA5A26,64388.509999999995,346,453
PEW2CH 48 34 - Charcoal Flame Resistant Bottoms,B00HUA5A26,17560.6,346,451
PEW2KH 50 34 - Khaki Flame Resistant Bottoms,B00HUA5A26,9286.41,346,452
PEW2VG 50 34 - Visual Green Flame Resistant Bottoms,B00HUA5A26,1265.68,346,454
2020 - White Uniforms Bottoms,B00O7PBM6A,63422.229999999996,429,141
2020 - Black Uniforms Bottoms,B00O7PBM6A,25752.91,429,139
2020 - Black/white Check Uniforms Bottoms,B00O7PBM6A,5800.149999999999,429,140
413 - White Uniforms Jackets,B00O7PBRJW,61658.119999999995,440,154
KEL2LB RG XXL - Light Blue Flame Resistant Outerwear,B00HUA4F90,50391.729999999996,337,349
CP40 - Navy Coveralls,B00O971DU6,39819.26,484,268
CP40 - White Coveralls,B00O971DU6,24488.58,484,269
CP40 - Medium Blue Coveralls,B00O971DU6,8603.05,484,267
PEJ4DW 48 34 - Blue Denim Flame Resistant Bottoms,B00HUA514S,37074.37,344,445
